 ra|dec|name|proper_motion_ra|proper_motion_ra_unc|proper_motion_dec|proper_motion_dec_unc|publication_id|V_tan|V_tan_unc|source_id
 182.48394|-10.06699|2MASS J12095613-1004008| 0.2500| 0.0190|-0.3900| 0.0190|219| 39.0| 4.0|1406
 183.14120| +2.10779|2MASS J12123389+0206280| 0.0650| 0.0210|-0.1410| 0.0210|219| 49.0| 9.0|316
 183.26391| -4.54548|2MASSI J1213033-043243 |-0.3540| 0.0160|-0.0120| 0.0120|210| 27.0| 3.0|179
 183.67037|+63.27872|SDSS J121440.95+631643.4 | 0.1650| 0.0300|-0.0210| 0.0680|219| 17.0| 4.0|1419
 183.93468|-34.34973|2MASS J12154432-3420591|-0.2120| 0.0170|-0.3100| 0.0210|219| 42.0| 5.0|1353
 183.97282| +0.84719|2MASS J12155348+0050498| 0.2200| 0.0200|-0.3980| 0.0200|219| 63.0|11.0|
 184.09004|+44.94278|2MASS J12162161+4456340|-0.0350| 0.0140|-0.0040| 0.0190|219|7.0| 3.0|812
 184.24657|+30.05156|SDSS J121659.17+300306.3 |-0.0210| 0.0170| 0.1150| 0.0190|219| 38.0|16.0|
 184.29599| -3.18695|2MASSI J1217110-031113 |-1.0540| 0.0020| 0.0760| 0.0020|243| 55.2| 1.4|1354
 184.37227| +0.59239|2MASS J12172935+0035326| 0.0780| 0.0260|-0.0010| 0.0260|219| 10.0| 3.0|808
 184.74814| -5.84118|2MASS J12185957-0550282|-0.2790| 0.0190|-0.0360| 0.0190|219| 47.0| 5.0|
 184.96469|+31.48046|SDSS J121951.45+312849.4 |-0.2500| 0.0260|-0.0170| 0.0310|219| 22.0| 3.0|
 185.36542| +2.95550|2MASS J12212770+0257198|-0.1150| 0.0300|-0.0180| 0.0270|210| 11.0| 3.0|488
 185.46103| -8.72214|2MASS J12215066-0843197|-0.1920| 0.0190| 0.0150| 0.0190|219| 27.0| 3.0|523
 186.21745|-12.64320|2MASS J12245222-1238352|-0.2620| 0.0110|-0.1870| 0.0110|242| 26.6| 2.0|516
 186.47651|-27.66321|2MASS J12255432-2739466| 0.3850| 0.0020|-0.6280| 0.0030|243| 46.5| 1.7|508
 186.77120| -4.78902|2MASS 1227-0447| 0.4100| 0.0200| 0.2400| 0.0100|247|148.0||
 186.81435| -6.61274|2MASS J12271545-0636458|-0.1060| 0.0190|-0.0850| 0.0190|219| 22.0| 3.0|270
 187.06353|-15.79292|DENIS-P J1228.2-1547 | 0.1340| 0.0010|-0.1800| 0.0010|215| 21.5| 0.8|269
 187.23075| +0.84556|SDSS J122855.38+005044.1 |-0.0410| 0.0210|-0.0380| 0.0210|219| 16.0| 6.0|
 187.83919|+49.98983|2MASS J12312141+4959234|-0.0530| 0.0190|-0.0220| 0.0300|219|8.0| 3.0|801
 187.94811| +8.79259|2MASS J12314753+0847331|-1.1760| 0.0210|-1.0430| 0.0210|219| 87.0|11.0|1408
 188.07613| -9.86394|2MASS J12321827-0951502|-0.1560| 0.0130|-0.1010| 0.0170|210| 22.0| 2.0|489
 189.41276|+65.43733|2MASS J12373919+6526148|-1.0020| 0.0080|-0.5250| 0.0060|244| 55.8| 2.8|255
 189.86370|+55.26032|2MASSW J1239272+551537 | 0.1610| 0.0290| 0.0380| 0.0060|210| 17.0| 3.0|281
 191.69490|+40.45417|2MASSW J1246467+402715 | 0.1450| 0.0120|-0.0790| 0.0170|210| 20.0| 3.0|
 191.71520|+31.80291|2MASS J12465176+3148104|-0.7920| 0.0190| 0.0500| 0.0190|229| 68.0| 7.0|
 191.89877|-12.33117|2MASS J12473570-1219518| 0.0360| 0.0180|-0.2230| 0.0180|219| 35.0| 4.0|50
 192.54857|+39.43244|SDSS J125011.65+392553.9 |-0.0150| 0.0080|-0.8280| 0.0110|219| 89.0|10.0|
 193.08513|-31.82467|2MASS J12522042-3149288| 0.1660| 0.0160|-0.0320| 0.0190|219| 25.0| 3.0|230
 193.29566|-57.15686|DENIS-P J1253108-570924|-1.5750| 0.0050|-0.4340| 0.0140|235|162.0|20.0|
 193.30182|+40.56743|2MASS J12531240+4034038| 0.2400| 0.0800|-0.6100| 0.0900|236| 54.0|10.0|
 193.72459| -1.37980|SDSSp J125453.90-012247.4|-0.4790| 0.0020| 0.1300| 0.0030|215| 27.7| 0.6|439
 194.23701| +1.77120|2MASS J12565688+0146163|-0.1830| 0.0130|-0.0170| 0.0180|210| 24.0| 4.0|238
 194.40527| -1.22667|SDSSp J125737.26-011336.1| 0.0810| 0.0200|-0.0030| 0.0110|210| 14.0| 4.0|
 195.17710|+19.20956|2MASSW J1300425+191235 |-0.8200| 0.0180|-1.2440| 0.0190|219| 99.0| 7.0|546
 195.47769|-15.17288|2MASS J13015465-1510223|-0.0690| 0.0120|-0.0740| 0.0160|210| 16.0| 2.0|16
 195.66238| +3.86139|2MASS J13023897+0351410|-0.0390| 0.0210| 0.0250| 0.0210|219|9.0| 4.0|18
 196.41732|-25.68497|Kelu-1 |-0.2850| 0.0010| 0.0110| 0.0010|215| 25.2| 0.9|
 196.42108|+20.77763|2MASSI J1305410+204639 |-0.0230| 0.0170| 0.0730| 0.0270|210| 10.0| 4.0|799
 196.57196|+38.34156|2MASS J13061727+3820296|-0.1750| 0.0270|-0.0080| 0.0350|219| 28.0| 6.0|
 197.10444| +7.43091|2MASS J13082507+0725512| 0.2590| 0.0210|-0.4160| 0.0210|219| 51.0| 4.0|
 197.34106|-23.50992|2MASS J13092185-2330350| 0.0270| 0.0020|-0.4190| 0.0300|211| 26.0| 3.0|800
 197.91339|+80.53943|2MASS J13113921+8032219|-0.0680| 0.0190|-0.3480| 0.0190|229| 49.0| 9.0|
 198.02940|+39.62903|2MASS J13120707+3937445|-0.0970| 0.0230| 0.0130| 0.0180|210| 14.0| 4.0|163
 198.56463| -0.14669|SDSSp J131415.52-000848.1|-0.0010| 0.0230| 0.0730| 0.0230|219| 20.0| 8.0|
 198.87858|-26.83104|2MASSI J1315309-264951 |-0.6780| 0.0160|-0.2800| 0.0150|210| 64.0| 6.0|
 200.17330| +9.96406|2MASS J13204159+0957506|-0.2360| 0.0210|-0.1290| 0.0210|219| 45.0| 6.0|385
 200.18449| +4.15124|2MASS J13204427+0409045|-0.4830| 0.0190| 0.2110| 0.0170|210| 82.0| 8.0|641
 200.89985|-18.11053|DENIS-P J1323-1806 |-0.0870| 0.0150|-0.0220| 0.0190|210| 18.0| 3.0|
 200.96698|+30.24276|2MASS J13235206+3014340|-0.6950| 0.0230| 0.1560| 0.0270|219|100.0|15.0|
 201.14834|+63.97457|2MASS J13243559+6358284|-0.3430| 0.0640|-0.2600| 0.0480|232| 26.0| 6.0|1414
 201.58362|-27.49361|2MASSW J1326201-272937 |-0.3640| 0.0160|-0.0160| 0.0140|210| 41.0| 4.0|
 201.62415| -0.64208|SDSSp J132629.82-003831.5|-0.2260| 0.0080|-0.1070| 0.0060|244| 23.8| 3.2|401
 202.22933|+21.24676|2MASSW J1328550+211449 | 0.2190| 0.0020|-0.4280| 0.0020|215| 73.6| 9.0|1361
 202.25418|-41.78707|2MASS J13290099-4147133| 0.2310| 0.0130|-0.2800| 0.0170|219| 47.0| 4.0|
 202.50965| -4.88895|2MASS J13300232-0453202|-0.0790| 0.0090|-0.0070| 0.0090|209| 10.0| 1.0|440
 202.88795|+34.13288|2MASS J13313310+3407583|-0.3530| 0.0190|-0.1690| 0.0180|210| 62.0| 5.0|383
