 ra|dec|name|proper_motion_ra|proper_motion_ra_unc|proper_motion_dec|proper_motion_dec_unc|publication_id|V_tan|V_tan_unc|source_id
 022.64847|-44.76142|2MASS J01303563-4445411| 0.1200| 0.0140|-0.0250| 0.0200|219| 19.0| 3.0|184
 022.82674|+38.03205|2MASS J01311838+3801554| 0.3730| 0.0120|-0.0310| 0.0150|219| 37.0| 8.0| 
 023.38534|-63.24486|SSSPM J0134-6315 | 0.0770| 0.0080|-0.0810| 0.0090|230| 19.0| 2.0| 
 023.89943|+12.08942|2MASSW J0135358+120522 |-0.0420| 0.0230|-0.4220| 0.0230|219| 57.0| 5.0| 
 024.23567| +9.56314|IPMS J013656.57+093347.3 | 1.2410| 0.0090|-0.0040| 0.0110|201| 36.0| 2.0|438
 025.26352|+18.08060|2MASSW J0141032+180450 | 0.4030| 0.0110|-0.0450| 0.0120|219| 46.0| 3.0|736
 025.31157|-24.29207|2MASS J01411479-2417311|-0.1610| 0.0170|-0.3030| 0.0190|219| 51.0| 6.0|258
 025.49264|-46.56595|2MASS J01415823-4633574| 0.1040| 0.0170|-0.0260| 0.0240|219| 21.0| 4.0|183
 025.63127| +5.39131|2MASS 0142+0523| 0.5600| 0.0500|-0.2900| 0.0500|247|194.0|| 
 026.14747| -7.27068|2MASS J01443536-0716142| 0.3950| 0.0180|-0.2040| 0.0180|219| 24.0| 2.0|260
 026.50492|-45.75732|2MASS J01460119-4545263| 0.1210| 0.0160| 0.0600| 0.0230|219| 25.0| 4.0|282
 026.63302| +6.68763|2MASS J01463192+0641153|-0.0790| 0.0100|-0.2490| 0.0100|228| 39.0| 4.0| 
 026.88675|-49.91329|2MASS J01473282-4954478|-0.0140| 0.0010|-0.2880| 0.0260|216| 45.0| 9.0|1101
 026.88936|+34.88641|2MASSW J0147334+345311 | 0.0370| 0.0090|-0.0550| 0.0110|219| 13.0| 2.0| 
 027.16096|-30.41097|2MASS J01483864-3024396|-0.1100| 0.1000| 0.1000| 0.0900|236| 13.0| 9.0|471
 027.28742|+29.93673|2MASS J01490895+2956131| 0.1757| 0.0008|-0.4021| 0.0007|215| 46.8| 0.7|1285
 027.92361|+12.74164|SDSS J015141.69+124429.6 | 0.7420| 0.0040|-0.0370| 0.0020|244| 75.3| 5.5|360
 028.76468| +9.83343|2MASS J01550354+0950003| 0.3380| 0.0230|-0.0800| 0.0230|219| 28.0| 5.0| 
 031.09219|-36.54189|2MASS J02042212-3632308| 0.1930| 0.0170|-0.0340| 0.0210|219| 21.0| 3.0| 
 031.26446|+12.86172|2MASSW J0205034+125142 | 0.3490| 0.0110|-0.0180| 0.0110|219| 37.0| 3.0|134
 031.37239|-11.99157|DENIS-P J0205.4-1159 | 0.4343| 0.0008| 0.0549| 0.0008|215| 41.0| 1.2|509
 031.53689|+22.59977|SDSS J020608.97+223559.2 | 0.3410| 0.0150|-0.0620| 0.0160|219| 64.0| 6.0| 
 031.89831|+13.93228|SDSS J020735.60+135556.3 | 0.2600| 0.0170|-0.1610| 0.0180|219| 51.0| 5.0|
 031.92847| +0.01567|SDSS J020742.48+000056.2 | 0.1550| 0.0110|-0.0170| 0.0060|244| 21.0| 7.0|1287
 032.07662|+25.71479|2MASSW J0208183+254253 | 0.3560| 0.0100|-0.0210| 0.0110|219| 42.0| 3.0|307
 032.09861|+27.62771|2MASSW J0208236+273740 | 0.2170| 0.0130|-0.1100| 0.0140|219| 28.0| 3.0|174
 032.22911|+25.01359|2MASSW J0208549+250048 |-0.0220| 0.0110| 0.0600| 0.0120|219|9.0| 2.0|
 032.86776|+14.16774|SDSS J021128.25+141003.8 |-0.0920| 0.0100|-0.0300| 0.0100|219| 31.0| 4.0|
 033.36998|+44.74586|2MASSI J0213288+444445 |-0.0400| 0.0600|-0.1600| 0.0600|236| 15.0| 5.0|187
 033.78352|-30.66701|2MASS J02150802-3040011| 0.7700| 0.0180|-0.3390| 0.0190|228| 49.0| 4.0|
 034.62132|-31.55643|2MASSI J0218291-313322 |-0.1650| 0.0150|-0.1380| 0.0180|219| 26.0| 3.0|190
 034.74125| -6.29717|2MASS J02185792-0617499| 0.3670| 0.0190|-0.0970| 0.0190|229| 41.0| 4.0|
 034.84146| +5.10850|2MASS J02192196+0506306| 0.1900| 0.0240| 0.0050| 0.0240|219| 36.0| 6.0|472
 034.86691|-19.64485|SSSPM J0219-1939 | 0.1940| 0.0040|-0.1730| 0.0060|231| 33.0| 2.0|
 035.36859|-68.52778|2MASS J02212859-6831400| 0.0460| 0.0060|-0.0060| 0.0170|219|8.0| 2.0|296
 035.47914|-54.20150|2MASS J02215494-5412054| 0.1360| 0.0100|-0.0100| 0.0170|219| 20.0| 3.0|476
 035.97693|-58.25186|2MASS J02235464-5815067| 0.1340| 0.0100| 0.0050| 0.0190|219| 30.0| 4.0|731
 036.32838|-58.62486|2MASS J02251947-5837295| 0.0850| 0.0100|-0.0300| 0.0180|219| 12.0| 2.0|732
 036.79305|-16.41324|2MASS J02271036-1624479| 0.5090| 0.0160|-0.3030| 0.0100|216| 58.0| 4.0|733
 037.04597|+25.62722|2MASSW J0228110+253738 | 0.2570| 0.0140|-0.0140| 0.0170|210| 32.0| 4.0|830
 037.13783|+18.18598|2MASS J02283305+1811097| 0.1820| 0.0100|-0.0860| 0.0100|228| 30.0| 4.0|831
 037.17682|+16.65912|2MASS J02284243+1639329| 0.4220| 0.0200|-0.4120| 0.0210|219| 54.0| 7.0|
 037.18116|-63.41821|2MASS J02284355-6325052| 0.5930| 0.0100| 0.4580| 0.0230|219| 82.0|10.0|
 037.56470|+27.06836|2MASS J02301551+2704061| 0.1890| 0.0080|-0.0070| 0.0100|219| 29.0| 4.0|833
 038.94815| -8.82216|SDSS J023547.56-084919.8 |-0.0440| 0.0130| 0.0130| 0.0130|219| 10.0| 3.0|
 038.99974|-23.52236|GJ 1048B | 0.0850| 0.0010| 0.0130| 0.0008|234|8.6| 0.2|
 039.07473| +0.81526|SDSSp J023617.93+004855.0| 0.1230| 0.0120|-0.1760| 0.0120|219| 30.0| 3.0|615
 039.92689|-17.59645|2MASSI J0239424-173547 | 0.0420| 0.0170|-0.0950| 0.0180|219| 16.0| 3.0|693
 040.12295|+28.54922|2MASS J02402950+2832576| 0.0460| 0.0190|-0.1920| 0.0190|229| 21.0| 3.0|
 040.47375|-12.68527|2MASSI J0241536-124106 | 0.3120| 0.0160|-0.0400| 0.0170|219| 68.0|11.0|99
 040.68152|+16.12748|2MASSW J0242435+160739 | 0.1520| 0.0110|-0.2100| 0.0120|219| 66.0| 5.0|
 040.80703|-24.89167|2MASSI J0243137-245329 |-0.2880| 0.0040|-0.2080| 0.0030|244| 18.0| 0.7|1288
 040.96263|-54.53872|2MASS J02435103-5432194| 0.0960| 0.0110|-0.0260| 0.0190|219| 15.0| 2.0|
 041.95754|-16.52028|SDSS J024749.90-163112.6 | 0.3130| 0.0170| 0.1430| 0.0170|219| 46.0| 7.0|1429
 042.17084|-16.85611|2MASS J02484100-1651216| 0.0210| 0.0090|-0.2730| 0.0120|242| 21.8| 2.2|96
 042.80525| +0.79344|2MASS J02511327+0047364| 0.2340| 0.0070| 0.0400| 0.0040|241| 67.0| 9.0|336
 042.81246| -3.88003|2MASSI J0251148-035245 | 1.1280| 0.0130|-1.8260| 0.0200|210|122.0|11.0|730
 043.10953| +0.93955|2MASS J02522628+0056223|-0.1750| 0.0070|-0.1000| 0.0050|241| 27.2| 2.5|1291
 043.25370|+16.88123|2MASS J02530084+1652532| 3.4040| 0.0050|-3.8070| 0.0050|223| 92.9| 1.0|1292
 043.76535|-47.01433|DENIS-P J0255-4700 | 1.0700| 0.1100|-0.6200| 0.1100|236| 30.0| 3.0|725
 044.00787| +1.17965|SDSS J025601.86+011047.2 | 0.0250| 0.0150|-0.0680| 0.0150|219| 27.0| 6.0|
 044.35762|-31.09783|2MASS J02572581-3105523| 0.6020| 0.0180| 0.3200| 0.0210|219| 31.0| 2.0|
 045.50512|+13.97059|2MASSI J0302012+135814 | 0.0550| 0.0150|-0.0370| 0.0160|219| 19.0| 5.0|
 045.83847| -0.16051|SDSSp J030321.24-000938.2| 0.0250| 0.0170|-0.0230| 0.0170|219| 12.0| 6.0|
 046.61190|+15.75378|2MASSW J0306268+154514 | 0.2120| 0.0170|-0.0710| 0.0180|219| 38.0| 7.0|
 047.28706|-19.82743|2MASSW J0309088-194938 | 0.1840| 0.0160|-0.0380| 0.0170|219| 27.0| 4.0|
 047.50210| +7.44734|2MASS J03100053+0726506| 0.5390| 0.0220| 0.2540| 0.0220|219| 67.0| 7.0|
 047.55833|-27.94590|2MASS J03101401-2756452|-0.1160| 0.0160|-0.0520| 0.0180|219| 15.0| 2.0|326
 047.74938|+16.80431|2MASSW J0310599+164816 |-0.7060| 0.0190| 0.1190| 0.0200|219| 63.0| 4.0|
 048.43513| +4.55458|2MASS J03134443+0433165|-0.0490| 0.0220| 0.0060| 0.0220|219|8.0| 4.0|
 048.51431|+16.05155|2MASS J03140344+1603056|-0.2410| 0.0180|-0.0760| 0.0190|219| 17.0| 2.0|578
 048.66710| -4.84215|2MASS J03144011-0450316|-0.0680| 0.0180|-0.1190| 0.0180|219| 14.0| 2.0|327
 049.18804|-28.81450|2MASSI J0316451-284852 | 0.1070| 0.0170|-0.0810| 0.0190|219| 23.0| 4.0|328
 049.72526|-34.35811|2MASS J03185403-3421292| 0.3650| 0.0160| 0.0170| 0.0190|219| 25.0| 2.0|330
 050.07167|-10.43681|2MASS J03201720-1026124| 0.0130| 0.0180|-0.1000| 0.0180|219| 17.0| 3.0|331
 050.11819| -4.77680|2MASSW J0320284-044636 |-0.2670| 0.0160|-0.5330| 0.0160|219| 75.0|13.0|
 050.24877|+18.90632|2MASS J03205965+1854233| 0.3493| 0.0005|-0.2557| 0.0006|215| 29.8| 0.3|320
 050.79176|-46.52325|2MASS J03231002-4631237| 0.0600| 0.0130|-0.0100| 0.0190|219| 16.0| 4.0|577
 051.25594|+22.88433|2MASS J03250136+2253039| 0.4050| 0.0130|-0.1460| 0.0140|219| 73.0| 7.0|
 051.47176| +4.42795|SDSS J032553.17+042540.1 |-0.1830| 0.0140|-0.0990| 0.0140|219| 18.0| 3.0|1295
 051.55695|+29.83759|2MASSW J0326137+295015 |-0.0188| 0.0008| 0.0668| 0.0008|215| 10.6| 0.5|1296
 051.67608|-21.03496|2MASS J03264225-2102057| 0.1080| 0.0140|-0.1460| 0.0150|219| 35.0| 5.0|872
 051.92047|-31.80433|2MASS J03274091-3148156| 0.0380| 0.0170| 0.0180| 0.0200|219| 10.0| 4.0|589
 052.07241| +0.54922|SDSSp J032817.38+003257.2| 0.1950| 0.0130| 0.0330| 0.0130|219| 43.0| 5.0|
 052.14429|+11.49764|2MASS J03283463+1129515| 0.5480| 0.0100| 0.2470| 0.0100|228| 52.0| 4.0|570
 052.17772|+23.03471|2MASSI J0328426+230205 | 0.0130| 0.0030|-0.0600| 0.0050|244|8.7| 1.3|214
 052.52124|+24.09111|2MASS J03300506+2405281| 0.1750| 0.0190|-0.0500| 0.0190|229| 18.0| 5.0|
 052.57391| +0.01323|SDSSp J033017.77+000047.8|-0.0110| 0.0180|-0.0460| 0.0180|219| 20.0| 8.0|
 052.64643| -0.42640|SDSSp J033035.13-002534.5| 0.3940| 0.0150|-0.3360| 0.0150|219| 69.0| 7.0|406
 052.87606|-30.71076|2MASS J03313025-3042383| 0.0570| 0.0010|-0.4030| 0.0060|202| 26.0||874
 053.00179|-23.29708|2MASS J03320043-2317496|-0.0130| 0.0200|-0.1530| 0.0220|219| 23.0| 4.0|
 053.55037|-49.89225|2MASS J03341218-4953322| 2.3080| 0.0120| 0.4800| 0.0190|219|107.0| 7.0|63
 053.93896| +6.96828|2MASS J03354535+0658058| 0.0290| 0.0210|-0.3330| 0.0210|219| 45.0| 5.0|
 054.26502|-17.96883|2MASSW J0337036-175807 | 0.1910| 0.0310| 0.1150| 0.0330|219| 31.0| 5.0|252
 054.89683|-35.42880|2MASS J03393521-3525440| 0.3240| 0.0080| 0.2960| 0.0070|242| 10.4| 0.3|153
 055.03897|-67.40125|2MASS J03400942-6724051|-0.3180| 0.0070| 0.5080| 0.0180|219| 32.0|10.0|
 055.56760|-68.29224|2MASS J03421621-6817321| 0.0640| 0.0070| 0.0210| 0.0180|219| 26.0| 5.0|156
 056.42983|+25.67314|2MASP J0345432+254023|-0.0960| 0.0003|-0.0357| 0.0004|215| 13.1| 0.2|825
 057.03215|-60.37419|2MASS J03480772-6022270|-0.2800| 0.0400|-0.7200| 0.0400|208| 32.0| 5.0|
 057.70254| -5.30349|SDSS J035048.62-051812.8 | 0.0120| 0.0220|-0.0280| 0.0220|219| 11.0| 8.0|
 057.73917|+18.30190|2MASS J03505737+1818069| 0.1930| 0.0100|-0.0240| 0.0100|228| 21.0| 2.0|393
 057.75016| -0.87911|2MASS J03510004-0052452| 0.0367| |-0.5247| |246| 36.6| 1.0|392
 057.76763|+48.17992|SDSS J035104.37+481046.8 | 0.3120| 0.0190|-0.1800| 0.0290|219| 39.0| 5.0|1385
 058.04524| +2.17996|2MASS J03521086+0210479| 0.2620| 0.0250| 0.3730| 0.0250|222| 45.0| 4.0|548
 058.50575|+23.27604|2MASS J03540135+2316339| 0.1890| 0.0190|-0.0710| 0.0190|228| 20.0| 2.0|
 058.70229| -0.46166|SDSS J035448.73-002742.1 |-0.0110| 0.0220|-0.0190| 0.0220|219| 10.0|11.0|
 058.76989|-10.54487|2MASS J03550477-1032415| 0.0460| 0.0180|-0.0440| 0.0190|219|7.0| 2.0|351
 058.84737|+11.56214|2MASS J03552337+1133437| 0.1920| 0.0170|-0.6130| 0.0170|219| 25.0| 5.0|700
 058.92472|+22.95043|2MASSW J0355419+225702 | 0.1460| 0.0140|-0.0250| 0.0160|219| 34.0| 5.0|
 059.33795| -6.69055|SDSS J035721.11-064126.0 | 0.1090| 0.0120| 0.0080| 0.0120|219| 36.0| 5.0|
 059.36230|-44.29181|DENIS-P J035726.9-441730 | 0.0640| 0.0130|-0.0200| 0.0190|219|7.0| 2.0|225
 059.59396|-41.26833|2MASS J03582255-4116060| 0.0510| 0.0150| 0.0750| 0.0200|219| 10.0| 2.0|223
 060.37404|-40.84579|2MASS J04012977-4050448|-0.0360| 0.0150|-0.1020| 0.0200|219| 19.0| 4.0|222
 061.78133|+15.77936|2MASS J04070752+1546457| 0.0490| 0.0190|-0.0440| 0.0200|219| 10.0| 3.0|229
 061.78688|+15.24902|2MASS J04070885+1514565| 0.1060| 0.0160|-0.1100| 0.0170|219| 12.0| 2.0|1386
 062.04300| +7.71372|2MASS J04081032+0742494| 0.1620| 0.0200| 0.0950| 0.0200|219| 27.0| 4.0|
 062.12111|-14.84266|2MASSI J0408290-145033 | 0.1880| 0.0170|-0.1310| 0.0180|219| 26.0| 3.0|51
 062.28964|+21.07749|2MASSI J0409095+210439 | 0.0940| 0.0150|-0.1450| 0.0160|219| 30.0| 4.0|
 063.33498| -1.24022|SDSSp J041320.38-011424.9| 0.0700| 0.0170| 0.0010| 0.0170|219| 16.0| 4.0|
 063.83210| -9.58501|2MASSI J0415195-093506 | 2.1930| 0.0030| 0.5270| 0.0020|244| 61.4| 1.0|32
 064.40619| -8.00021|2MASS J04173745-0800007| 0.4900| 0.0900|-0.0500| 0.0900|236| 40.0| 8.0|
 064.44765|-21.48863|2MASS J04174743-2129191| 0.0720| 0.0170| 0.0220| 0.0180|219| 12.0| 3.0|542
 065.28002|-63.10055|2MASS J04210718-6306022| 0.1460| 0.0080| 0.1910| 0.0180|219| 36.0| 4.0|
 065.95230| -4.23428|SDSSp J042348.57-041403.5|-0.3230| 0.0030| 0.0820| 0.0020|244| 24.0| 0.6|794
 065.97170| -0.11639|2MASS J04235322-0006587|-0.1300| 0.1600|-0.2400| 0.1500|209| 38.0|21.0|793
 066.78012| +8.98408|2MASS J04270723+0859027|-0.1210| 0.0210|-0.0050| 0.0210|219| 13.0| 2.0|
 067.21237|-22.88959|2MASSI J0428510-225323 | 0.1130| 0.0120| 0.1550| 0.0130|219| 19.0| 2.0|348
 067.32678|-31.39908|2MASS J04291842-3123568| 0.0850| 0.0040| 0.1020| 0.0050|202|9.5||349
 067.71487| -8.81692|2MASS J04305157-0849007|-0.0210| 0.0170|-0.1710| 0.0180|219| 19.0| 2.0|608
 068.81063|-14.24633|2MASS J04351455-1414468| 0.0090| 0.0140| 0.0160| 0.0140|219|1.0| 1.0|756
 068.81722|-16.11585|2MASS J04351612-1606574| 0.1670| 0.0130| 0.3130| 0.0240|217| 14.0| 2.0|755
 069.11529|+11.85675|2MASS J04362767+1151243| 0.1170| 0.0200|-0.0090| 0.0200|219| 16.0| 4.0|760
 069.11619|-41.24625|2MASS J04362788-4114465| 0.0730| 0.0120| 0.0130| 0.0160|219|9.0| 2.0|759
 069.20919|-18.05728|2MASS J04365019-1803262| 0.2040| 0.0170|-0.0150| 0.0180|219| 37.0| 5.0|758
 069.75417|-23.88569|2MASSI J0439010-235308 |-0.1100| 0.0150|-0.1520| 0.0160|219| 10.0| 1.0|502
 070.09699| -5.50223|2MASS J04402325-0530082| 0.3300| 0.0380| 0.1330| 0.0150|217| 16.0| 3.0|500
 070.77420|-32.03577|2MASSI J0443058-320209 |-0.0130| 0.0150| 0.2110| 0.0180|219| 24.0| 3.0|
 070.90672| +0.03472|2MASS J04433761+0002051| 0.0280| 0.0140|-0.0990| 0.0140|219|8.0| 2.0|751
 071.06162| +5.73258|2MASS J04441479+0543573| 0.0950| 0.0210|-0.0060| 0.0210|219| 14.0| 3.0|
 071.29664| -6.04794|2MASS J04451119-0602526| 0.0470| 0.0170| 0.0070| 0.0180|219|7.0| 3.0|265
 071.38473|-36.70716|2MASS J04453237-3642258| 0.4540| 0.0180|-0.0080| 0.0230|219| 50.0| 7.0|
 071.47452|-30.80578|2MASSI J0445538-304820 | 0.1830| 0.0130|-0.3930| 0.0150|219| 34.0| 3.0|723
 071.92944|-19.60127|2MASS J04474307-1936045| 0.0690| 0.0220| 0.0880| 0.0230|219| 14.0| 4.0|136
 072.75391|-34.03746|2MASSI J0451009-340214 | 0.1070| 0.0170| 0.1380| 0.0210|219| 18.0| 2.0|36
 073.04156|-22.75251|LEHPM 2-59 | 0.4330| 0.1000|-0.5750| 0.1000|247|235.0||
 073.36031|-17.86509|2MASSI J0453264-175154 | 0.0370| 0.0170|-0.0210| 0.0180|219|6.0| 3.0|30
 073.88615|-27.03039|2MASS J04553267-2701493| 0.0780| 0.0160|-0.1190| 0.0170|219| 27.0| 5.0|654
 074.35688|+68.15491|2MASS J04572565+6809177| 0.0660| 0.0100|-0.1930| 0.0100|228| 25.0| 2.0|
 075.08750| +3.51393|2MASS J05002100+0330501|-0.0020| 0.0210|-0.3490| 0.0210|219| 22.0| 3.0|455
 075.35031| -0.17927|2MASS J05012406-0010452| 0.1580| 0.0140|-0.1390| 0.0140|219| 24.0| 5.0|449
 075.55606|+14.71019|2MASSI J0502134+144236 | 0.0600| 0.0120|-0.0220| 0.0120|219| 10.0| 2.0|
 077.20607|-16.78807|2MASS J05084947-1647167|-0.1970| 0.0180|-0.3620| 0.0180|219| 64.0| 6.0|147
 077.64667|-42.13719|2MASS J05103520-4208140| 0.1040| 0.0150| 0.5800| 0.0210|219| 50.0| 6.0|1387
 077.75680|-46.10041|2MASS J05110163-4606015| 0.0670| 0.0200| 0.1590| 0.0210|227| 27.0| 4.0|210
 078.02649|-29.83164|2MASSI J0512063-294954 |-0.0280| 0.0160| 0.0990| 0.0180|219| 13.0| 3.0|791
 079.03928| -4.76394|2MASS J05160945-0445499|-0.2700| 0.0300|-0.2100| 0.0300|208| 20.0| 3.0|1303
 079.06656|-33.53456|2MASS J05161597-3332046| 0.0590| 0.0160| 0.1840| 0.0190|219| 40.0| 8.0|448
 079.27284|-41.91147|2MASS J05170548-4154413| 0.0890| 0.0150| 0.0160| 0.0210|219| 11.0| 2.0|1119
 079.40706|-33.81750|2MASS J05173766-3349027| 0.4280| 0.0050|-0.3060| 0.0040|202| 42.6||92
 079.69234|-27.94602|2MASS J05184616-2756457| 0.0200| 0.0130| 0.0220| 0.0140|219|7.0| 3.0|91
 079.74977|-28.47708|2MASS J05185995-2828372|-0.0650| 0.0160|-0.2820| 0.0190|219| 47.0| 9.0|90
 080.90928|-14.05056|2MASSI J0523382-140302 | 0.0900| 0.0170| 0.1660| 0.0170|219| 12.0| 1.0|721
 081.68117|-44.92932|2MASS J05264348-4455455| 0.0130| 0.0140|-0.1680| 0.0140|222| 25.0| 3.0|
 081.74888|-50.43933|2MASS J05265973-5026216| 0.0080| 0.0120| 0.2270| 0.0200|219| 38.0| 5.0|128
 082.18478|-32.87298|2MASS J05284435-3252228|-0.0290| 0.0160| 0.0660| 0.0180|219| 10.0| 3.0|718
 083.22627|+82.77921|2MASS 0532+8246| 1.9900| 0.1300|-1.6700| 0.1100|247|247.0||
 083.74347|-15.19550|2MASS J05345844-1511439|-0.1150| 0.0180| 0.0850| 0.0180|219| 15.0| 2.0|719
 084.08326|-19.34434|2MASS J05361998-1920396| 0.0170| 0.0170|-0.0240| 0.0180|219|8.0| 5.0|720
 084.54209| -2.60722|SOri 70| 0.0100| 0.0040| 0.0050| 0.0040|245|4.0| 2.0|
 084.85335|+40.64522|2MASS J05392474+4038437| 0.6540| 0.0100|-0.8310| 0.0100|228| 49.0| 4.0|
 084.96672| -0.98376|SDSSp J053951.99-005902.0| 0.1640| 0.0020| 0.3160| 0.0030|244| 22.2| 0.7|
 086.04796|-24.55069|2MASS J05441150-2433018| 0.1400| 0.0300|-0.6900| 0.0300|236| 63.0| 6.0|
 089.74437|-29.05999|APMPM 0559-2903| 0.3700| 0.0200| 0.0600| 0.0200|247|126.0||
 089.82991|-14.08032|2MASS J05591914-1404488| 0.5630| 0.0010|-0.3460| 0.0010|215| 32.1| 0.4|595
 090.14062|-33.24075|2MASS J06003375-3314268|-0.0150| 0.0100| 0.1190| 0.0110|209| 16.0| 2.0|765
 090.52660|+40.73299|2MASS J06020638+4043588| 0.2430| 0.0110|-0.2120| 0.0150|219| 21.0| 3.0|1388
 090.62694|+39.18294|LSR 0602+3910| 0.1460| 0.0100|-0.5010| 0.0100|228| 28.0| 2.0|
 091.25815|-23.70748|2MASS J06050196-2342270|-0.0570| 0.0170| 0.0820| 0.0180|219| 17.0| 4.0|771
 092.00968|-29.74969|2MASS J06080232-2944590| 0.0300| 0.0200| 0.1000| 0.0200|209| 16.0| 3.0|412
 092.22012|-27.89953|2MASS J06085283-2753583|-0.0130| 0.0110|-0.0020| 0.0130|219|2.0| 1.0|413
 092.64496|-21.86687|Gl 229B|-0.1370| 0.0006|-0.7141| 0.0009|234| 19.9| 0.1|
 093.95566| -1.01155|DENIS-P J0615493-010041| 0.2260| 0.0120|-0.0750| 0.0140|235| 22.0| 4.0|
 094.02216|-45.95222|2MASS J06160532-4557080|-0.0570| 0.0140| 0.1140| 0.0200|219| 22.0| 4.0|341
 094.80392|-58.05580|AB Pic b | 0.0141| 0.0008| 0.0452| 0.0010|234| 10.2| 0.4|
 094.89767|-52.82686|2MASS J06193544-5249367| 0.0570| 0.0120| 0.1720| 0.0200|219| 23.0| 3.0|342
 096.19146|-45.36521|2MASS J06244595-4521548|-0.0450| 0.0110| 0.3700| 0.0150|219| 24.0| 4.0|376
 096.58838| +0.49280|SDSS J062621.22+002934.2 | 0.0840| 0.0150|-0.0920| 0.0150|219| 36.0| 5.0|
 098.10008|-50.17636|2MASS J06322402-5010349|-0.1030| 0.0130|-0.0180| 0.0210|219| 15.0| 2.0|345
 099.98317|-74.31239|2MASS J06395596-7418446| 0.0000| 0.0050|-0.0020| 0.0190|219|0.0| 2.0|157
 100.32672|-43.37569|2MASS J06411840-4322329| 0.1890| 0.0130| 0.6130| 0.0180|219| 64.0| 5.0|110
 101.06000|-28.69493|2MASS J06441439-2841417| 0.1550| 0.0110|-0.0360| 0.0110|209| 26.0| 3.0|647
 102.33915|+43.75918|HD 49197B|-0.0350| 0.0070|-0.0490| 0.0060|234| 12.7| 1.4|
 103.08231|-25.58067|DENIS-P J0652197-253450|-0.2330| 0.0050| 0.0860| 0.0030|235| 19.0| 1.0|838
 103.12802|+47.17637|2MASSI J0652307+471034 |-0.0500| 0.0300| 0.1200| 0.0500|236|7.0| 3.0|395
 103.20196|-57.69378|2MASS J06524851-5741376|-0.0070| 0.0080| 0.0250| 0.0150|219|4.0| 2.0|109
 103.52349|+65.46809|SDSS J065405.63+652805.4 |-0.0150| 0.0060| 0.0300| 0.0150|219|5.0| 2.0|
 104.35605|-40.32038|2MASS J06572547-4019134|-0.2200| 0.0300| 0.0260| 0.0110|209| 24.0| 4.0|391
 104.48233|+40.49491|2MASS J06575576+4029420| 0.0010| 0.0100|-0.2760| 0.0100|228| 35.0| 3.0|390
 105.15274|+31.95712|2MASS J07003664+3157266| 0.1300| 0.0010|-0.5460| 0.0010|240| 32.4| 0.8|652
 106.97196|-49.01399|2MASS J07075327-4900503|-0.0100| 0.0050| 0.3910| 0.0070|242| 34.9| 3.0|691
 107.08890|+29.84293|2MASSW J0708213+295035 | 0.0400| 0.0140|-0.2360| 0.0160|219| 41.0| 5.0|
 108.51641|+37.04608|2MASS J07140394+3702459|-0.1100| 0.0300|-0.1700| 0.0300|236| 14.0| 2.0|849
 109.19958| -6.51026|DENIS-P J0716478-063037|-0.0160| 0.0130| 0.1210| 0.0050|235| 14.0| 2.0|
 109.31774|+57.09529|2MASSW J0717163+570543 |-0.0160| 0.0090| 0.0460| 0.0160|219|3.0| 1.0|848
 109.88282|-50.86139|2MASS J07193188-5051410| 0.1900| 0.0130|-0.0600| 0.0200|219| 28.0| 3.0|847
 110.81095|+57.45218|2MASS J07231462+5727081| 0.0620| 0.0110|-0.2380| 0.0200|219| 29.0| 4.0|599
 111.82667|+17.16653|2MASSI J0727182+171001 | 1.0460| 0.0040|-0.7670| 0.0030|244| 55.8| 1.2|34
 112.24989|-39.90079|2MASS J07290002-3954043|-0.5780| 0.0140| 1.6360| 0.0180|219| 45.0|10.0|1313
 114.84190|+66.25106|SDSS J073922.26+661503.5 | 0.1800| 0.0100|-0.0770| 0.0260|219| 31.0| 5.0|1390
 114.93271|+13.08519|2MASS J07394386+1305070|-0.0690| 0.0100|-0.1450| 0.0100|228| 28.0| 3.0|784
 115.02955|+20.15594|SDSS J074007.30+200921.9 |-0.1850| 0.0150|-0.1110| 0.0160|219| 37.0|10.0|
 115.04023|+32.20085|2MASSW J0740096+321203 |-0.0290| 0.0100|-0.0840| 0.0120|219| 16.0| 3.0|
 115.27825|+17.64577|2MASS J07410681+1738459|-0.1980| 0.0100|-0.5060| 0.0100|228| 46.0| 6.0|
 115.45485|+23.85756|SDSS J074149.15+235127.5 |-0.2430| 0.0130|-0.1430| 0.0140|219| 24.0| 3.0|1720
 115.50522|+20.92202|SDSS J074201.41+205520.5 |-0.3160| 0.0180|-0.2550| 0.0200|219| 34.0| 4.0|1315
 116.67710|+20.00888|2MASSI J0746425+200032 |-0.3740| 0.0003|-0.0579| 0.0007|215| 21.9| 0.1|119
 116.98466|+39.79245|SDSS J074756.31+394732.9 | 0.0520| 0.0120|-0.0570| 0.0150|219| 17.0| 3.0|
 117.81830|-25.51196|DENIS-P J0751164-253043|-0.8850| 0.0030| 0.1420| 0.0050|235| 58.0| 5.0|101
 118.09970|+16.20414|2MASS J07522390+1612157| 0.1820| 0.0100|-0.3590| 0.0100|228| 20.0| 2.0|358
 118.24757|+41.60957|SDSS J075259.43+413634.6 |-0.0140| 0.0200| 0.0410| 0.0270|219| 17.0|11.0|
 118.38399|+29.28659|2MASSI J0753321+291711 |-0.0900| 0.0120|-0.1020| 0.0130|219| 28.0| 3.0|
