source_id,ra,dec,name,proper_motion_ra,proper_motion_ra_unc,proper_motion_dec,proper_motion_dec_unc,publication_id
90,079.74979,-28.47700,2MASS J05185995-2828372,-0.065,0.016,-0.282,0.019,290
721,080.90925,-14.05061,2MASSI J0523382-140302,0.090,0.017,0.166,0.017,290
128,081.74887,-50.43933,2MASS J05265973-5026216,0.008,0.012,0.227,0.020,290
718,082.18479,-32.87300,2MASS J05284435-3252228,-0.029,0.016,0.066,0.018,290
719,083.74350,-15.19553,2MASS J05345844-1511439,-0.115,0.018,0.085,0.018,290
720,084.08325,-19.34433,2MASS J05361998-1920396,0.017,0.017,-0.024,0.018,290
1388,090.52658,+40.73300,2MASS J06020638+4043588,0.243,0.011,-0.212,0.015,290
771,091.25817,-23.70750,2MASS J06050196-2342270,-0.057,0.017,0.082,0.018,290
413,092.22012,-27.89953,2MASS J06085283-2753583,-0.013,0.011,-0.002,0.013,290
341,094.02217,-45.95222,2MASS J06160532-4557080,-0.057,0.014,0.114,0.020,290
342,094.89767,-52.82686,2MASS J06193544-5249367,0.057,0.012,0.172,0.020,290
376,096.19146,-45.36522,2MASS J06244595-4521548,-0.045,0.011,0.370,0.015,290
,096.58837,+0.49281,SDSS J062621.22+002934.2,0.084,0.015,-0.092,0.015,290
345,098.10008,-50.17636,2MASS J06322402-5010349,-0.103,0.013,-0.018,0.021,290
157,099.98317,-74.31239,2MASS J06395596-7418446,0.000,0.005,-0.002,0.019,290
110,100.32667,-43.37581,2MASS J06411840-4322329,0.189,0.013,0.613,0.018,290
109,103.20196,-57.69378,2MASS J06524851-5741376,-0.007,0.008,0.025,0.015,290
,103.52350,+65.46808,SDSS J065405.63+652805.4,-0.015,0.006,0.030,0.015,290
,107.08888,+29.84306,2MASSW J0708213+295035,0.040,0.014,-0.236,0.016,290
848,109.31775,+57.09528,2MASSW J0717163+570543,-0.016,0.009,0.046,0.016,290
847,109.88283,-50.86139,2MASS J07193188-5051410,0.190,0.013,-0.060,0.020,290
599,110.81092,+57.45225,2MASS J07231462+5727081,0.062,0.011,-0.238,0.020,290
1313,112.25008,-39.90119,2MASS J07290002-3954043,-0.578,0.014,1.636,0.018,290
1390,114.84179,+66.25108,SDSS J073922.26+661503.5,0.180,0.010,-0.077,0.026,290
,115.02967,+20.15600,SDSS J074007.30+200921.9,-0.185,0.015,-0.111,0.016,290
,115.04025,+32.20089,2MASSW J0740096+321203,-0.029,0.010,-0.084,0.012,290
1720,115.45500,+23.85764,SDSS J074149.15+235127.5,-0.243,0.013,-0.143,0.014,290
1315,115.50542,+20.92217,SDSS J074201.41+205520.5,-0.316,0.018,-0.255,0.020,290
119,116.67733,+20.00892,2MASSI J0746425+200032,-0.362,0.012,-0.042,0.013,290
,116.98462,+39.79247,SDSS J074756.31+394732.9,0.052,0.012,-0.057,0.015,290
,118.24758,+41.60956,SDSS J075259.43+413634.6,-0.014,0.020,0.041,0.027,290
,118.38404,+29.28664,2MASSI J0753321+291711,-0.090,0.012,-0.102,0.013,290
,118.81367,+29.57925,SDSS J075515.26+293445.4,-0.092,0.019,-0.074,0.022,290
1420,118.94979,+22.20469,2MASSI J0755480+221218,-0.034,0.016,-0.248,0.017,290
,119.10537,+12.74889,2MASSI J0756252+124456,0.004,0.015,-0.056,0.016,290
,119.23462,+23.24936,SDSS J075656.54+231458.5,0.158,0.016,-0.156,0.017,290
1394,119.66821,+32.79014,SDSS J075840.33+324723.4,-0.191,0.014,-0.349,0.017,290
727,119.87279,+3.39900,2MASS J07592947+0323564,-0.052,0.020,-0.003,0.020,290
,120.41900,+46.48050,2MASSW J0801405+462850,-0.200,0.009,-0.335,0.013,290
460,121.05954,+3.51317,2MASS J08041429+0330474,-0.006,0.020,-0.013,0.020,290
1540,121.38287,+48.20917,SDSS J080531.84+481233.0,-0.455,0.012,0.054,0.018,290
235,122.49596,+44.57267,SDSS J080959.01+443422.2,-0.198,0.014,-0.214,0.019,290
,123.80862,+10.50325,2MASS J08151407+1030117,-0.059,0.020,0.048,0.020,290
772,124.94175,+16.98164,2MASS J08194602+1658539,-0.160,0.016,-0.035,0.017,290
773,125.12483,+45.00875,2MASSW J0820299+450031,-0.111,0.009,-0.323,0.012,290
,125.12554,+10.62700,SDSS J082030.12+103737.0,-0.077,0.017,-0.026,0.017,290
617,125.95075,+24.48269,2MASS J08234818+2428577,-0.170,0.014,0.062,0.015,290
,127.27767,+14.93958,2MASSW J0829066+145622,-0.048,0.010,-0.244,0.010,290
262,127.45450,-0.20669,2MASS J08294908-0012241,-0.197,0.017,0.175,0.017,290
,127.48779,+26.91942,2MASSW J0829570+265510,-0.099,0.015,-0.043,0.017,290
251,127.70325,+1.47531,SDSS J083048.80+012831.1,0.236,0.020,-0.312,0.020,290
740,127.98325,+10.42825,2MASS J08315598+1025417,-0.049,0.021,-0.184,0.021,290
,128.01879,-1.47667,2MASSW J0832045-012835,0.070,0.015,0.003,0.015,290
